,accuracy,precision,recall,f1_score,roc_auc
Gradient Boosting,0.7743080198722498,0.5578512396694215,0.7219251336898396,0.6293706293706294,0.8426050789222144
Random Forest,0.7544357700496807,0.5259259259259259,0.7593582887700535,0.6214442013129103,0.829099175902245
SVM,0.758694109297374,0.5335968379446641,0.7219251336898396,0.6136363636363636,
Logistic Regression,0.759403832505323,0.5349301397205589,0.7165775401069518,0.6125714285714285,0.8400062001085019
Decision Tree,0.7686302342086586,0.5609137055837563,0.5909090909090909,0.5755208333333334,0.7438076416337286
KNN,0.6408800567778566,0.4126984126984127,0.8342245989304813,0.552212389380531,0.7686984938903098
