,best_params,best_f1
Random Forest,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}",0.8494524076364528
Gradient Boosting (Tuned),"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.01}",0.80775218653551
