,accuracy,precision,recall,f1_score,roc_auc
Random Forest (Tuned),0.8026969481902059,0.6348314606741573,0.6042780748663101,0.6191780821917808,0.839831822056886
Gradient Boosting (Tuned),0.7700496806245565,0.5538793103448276,0.6871657754010695,0.6133651551312649,0.843352967010256
